№ транзитного документа;Дата операции;Время создания;Сегодня;Задержка;№ задания;Код КА;Наименование КА;№ паллеты;Статус паллеты;Статус в диспетчере;МП паллеты;Комментарий РАО
935027G3135/6;17.01.2022;15.01.2022;16.01.2022;0,03;371599229;935027;Икальма;962231;Сформированная;Выполненное;Транзит МС ТД-55;
947712G2519/7;15.01.2022;15.01.2022;16.01.2022;0,02;371599707;947712;Лефевр;962362;Сформированная;Отложенное;Транзит МС ТД-89;
503929N1297;15.01.2022;15.01.2022;16.01.2022;0,02;371599806;503929;Прана;962284;Сформированная;Отложенное;Транзит МС ТД-46;
503929G2255/4;15.01.2022;15.01.2022;16.01.2022;0,02;371599941;503929;Прана;962363;Сформированная;Отложенное;Транзит МС ТД-81;
694828N1250/3;17.01.2022;15.01.2022;16.01.2022;0,02;371600051;694828;Буррито;962292;Сформированная;Выполненное;Транзит МС ТД-87;
692830N1262/2;15.01.2022;15.01.2022;16.01.2022;0,02;371599975;692830;Орлецовый;962364;Сформированная;Отложенное;Транзит МС ТД-35;
947712G2519/3;15.01.2022;15.01.2022;16.01.2022;0,02;371600089;947712;Лефевр;962301;Сформированная;Отложенное;Транзит МС ТД-39;
694828G3019;17.01.2022;15.01.2022;16.01.2022;0,02;371600186;694828;Буррито;962334;Сформированная;Выполненное;Транзит МС ТД-65;
692821N1265;17.01.2022;15.01.2022;16.01.2022;0,01;371600487;692821;Вулинг;962339;Сформированная;Выполненное;Транзит МС ТД-616;
692821G2106/3;17.01.2022;15.01.2022;16.01.2022;0,01;371600513;692821;Вулинг;962341;Сформированная;Выполненное;Транзит МС ТД-614;
692830N1262;15.01.2022;15.01.2022;16.01.2022;0,01;371600641;692830;Орлецовый;962343;Сформированная;Отложенное;Транзит МС ТД-612;
503092G3001/6;17.01.2022;16.01.2022;16.01.2022;0,00;371603604;503092;Пейнтхорс;962502;Сформированная;Выполненное;Транзит МС ТД-450;
692866G2115;17.01.2022;16.01.2022;16.01.2022;0,00;371603407;692866;Панджара;962501;Сформированная;Выполненное;Транзит МС ТД-452;
692821G2106/4;17.01.2022;16.01.2022;16.01.2022;0,00;371603611;692821;Вулинг;962503;Сформированная;Выполненное;Транзит МС ТД-483;
508760G3955;17.01.2022;16.01.2022;16.01.2022;0,00;371603695;508760;Личный;962516;Сформированная;Выполненное;Транзит МС ТД-469;
503092G3001/5;17.01.2022;16.01.2022;16.01.2022;0,00;371603833;503092;Пейнтхорс;962505;Сформированная;Выполненное;Транзит МС ТД-481;
503092G3001;17.01.2022;16.01.2022;16.01.2022;0,00;371603853;503092;Пейнтхорс;962506;Сформированная;Выполненное;Транзит МС ТД-479;
996909P39810/8;17.01.2022;16.01.2022;16.01.2022;0,00;371604265;996909;Ржев 1 8 Марта (а);962530;Сформированная;Выполненное;Транзит МС ТД-438;
945083G2293/3;17.01.2022;16.01.2022;16.01.2022;0,00;371604364;945083;Дакридиум;962548;Сформированная;Выполненное;Транзит МС ТД-473;
692866N1167/3;17.01.2022;16.01.2022;16.01.2022;0,00;371604878;692866;Панджара;962572;Сформированная;Выполненное;Транзит МС ТД-451;
945083G2293/8;17.01.2022;16.01.2022;16.01.2022;0,00;371605136;945083;Дакридиум;962555;Сформированная;Выполненное;Транзит МС ТД-425;
503605G2509/3;17.01.2022;16.01.2022;16.01.2022;0,00;371605126;503605;Месартим;962577;Сформированная;Выполненное;7-ЛЕВО;
508760G3955/5;17.01.2022;16.01.2022;16.01.2022;0,00;371605781;508760;Личный;962589;Сформированная;Выполненное;Транзит МС ТД-412;
692866G2115/3;17.01.2022;16.01.2022;16.01.2022;0,00;371605948;692866;Панджара;962596;Сформированная;Выполненное;Транзит МС ТД-410;
778109G3176/6;17.01.2022;16.01.2022;16.01.2022;0,00;371606159;778109;Албани;962631;Сформированная;Выполненное;Транзит МС ТД-446;
945083G2293/4;17.01.2022;16.01.2022;16.01.2022;0,00;371606097;945083;Дакридиум;962591;Сформированная;Выполненное;Транзит МС ТД-413;
945083N1689;17.01.2022;16.01.2022;16.01.2022;0,00;371606372;945083;Дакридиум;962726;Сформированная;Выполненное;Транзит МС ТД-403;
503605N1377;17.01.2022;16.01.2022;16.01.2022;0,00;371606488;503605;Месартим;962649;Сформированная;Выполненное;7-ЛЕВО;
692821N1265/3;17.01.2022;16.01.2022;16.01.2022;0,00;371606499;692821;Вулинг;962652;Сформированная;Выполненное;Транзит МС ТД-182;
503605G2509/4;17.01.2022;16.01.2022;16.01.2022;0,00;371606726;503605;Месартим;962728;Сформированная;Выполненное;7-ЛЕВО;
778109G3176;17.01.2022;16.01.2022;16.01.2022;0,00;371607099;778109;Албани;962672;Сформированная;Выполненное;Транзит МС ТД-405;
692821G2106;17.01.2022;16.01.2022;16.01.2022;0,00;371607111;692821;Вулинг;962675;Сформированная;Выполненное;Транзит МС ТД-390;
692866N1167;17.01.2022;16.01.2022;16.01.2022;0,00;371607270;692866;Панджара;962680;Сформированная;Выполненное;Транзит МС ТД-414;
945083G2293;17.01.2022;16.01.2022;16.01.2022;0,00;371607521;945083;Дакридиум;962686;Сформированная;Выполненное;Транзит МС ТД-420;
692866G2115/5;17.01.2022;16.01.2022;16.01.2022;0,00;371607678;692866;Панджара;962763;Сформированная;Выполненное;Транзит МС ТД-404;
965043G1952/6;16.01.2022;16.01.2022;16.01.2022;0,00;371607709;965043;Боровенск;962765;Сформированная;Отложенное;Транзит МС ТД-157;
772087G2925/5;17.01.2022;16.01.2022;16.01.2022;0,00;371607716;772087;Форзейль;962766;Сформированная;Выполненное;Транзит МС ТД-900;
945095G2313;16.01.2022;16.01.2022;16.01.2022;0,00;371607865;945095;Музыка;962694;Сформированная;Отложенное;Транзит МС ТД-217;
772087G2925;17.01.2022;16.01.2022;16.01.2022;0,00;371608477;772087;Форзейль;962703;Сформированная;Выполненное;Транзит МС ТД-388;
503317G2430;16.01.2022;16.01.2022;16.01.2022;0,00;371608509;503317;Бечевка;962704;Сформированная;Отложенное;Транзит МС ТД-417;
777878G3877/2;17.01.2022;16.01.2022;16.01.2022;0,00;371608536;777878;Разметка;962706;Сформированная;Выполненное;Транзит МС ТД-419;
936921G2563/4;16.01.2022;16.01.2022;16.01.2022;0,00;371608647;936921;Риони;962770;Сформированная;Отложенное;Транзит МС ТД-371;
502471G3942;17.01.2022;16.01.2022;16.01.2022;0,00;371608802;502471;Тангаж;962717;Сформированная;Выполненное;Транзит МС ТД-361;
694829G2722;16.01.2022;16.01.2022;16.01.2022;0,00;371608702;694829;Щепотка;962771;Сформированная;Отложенное;Транзит МС ТД-368;
503786G2632;17.01.2022;16.01.2022;16.01.2022;0,00;371608713;503786;Ибериец;962772;Сформированная;Выполненное;Транзит МС ТД-353;
502471G3942/6;17.01.2022;16.01.2022;16.01.2022;0,00;371608862;502471;Тангаж;962782;Сформированная;Выполненное;Транзит МС ТД-364;
936921G2563/6;16.01.2022;16.01.2022;16.01.2022;0,00;371608970;936921;Риони;962773;Сформированная;Отложенное;Транзит МС ТД-354;
694829N1194;16.01.2022;16.01.2022;16.01.2022;0,00;371608983;694829;Щепотка;962774;Сформированная;Отложенное;Транзит МС ТД-341;
904060G1313;16.01.2022;16.01.2022;16.01.2022;0,00;371609812;904060;Аптека Рыбачий;962808;Сформированная;Отложенное;Транзит МС ТД-354;
781649G1712/3;17.01.2022;16.01.2022;16.01.2022;0,00;371610039;781649;Тангфен;962850;Сформированная;Выполненное;Транзит МС ТД-356;
935024G2960/5;16.01.2022;16.01.2022;16.01.2022;0,00;371609989;935024;Плитка;962830;Сформированная;Отложенное;Транзит МС ТД-362;
474627G1520/5;17.01.2022;16.01.2022;16.01.2022;0,00;371610371;474627;Иасо;962859;Сформированная;Выполненное;Транзит МС ТД-340;
502949GR3103/6;17.01.2022;16.01.2022;16.01.2022;0,00;371610514;502949;Идеализм;962885;Сформированная;Выполненное;Транзит МС ТД-362;
965043G1952/5;16.01.2022;16.01.2022;16.01.2022;0,00;371610329;965043;Боровенск;962879;Сформированная;Отложенное;Транзит МС ТД-342;
936908G2763;16.01.2022;16.01.2022;16.01.2022;0,00;371610626;936908;Драпировка;962889;Сформированная;Отложенное;Транзит МС ТД-348;
502949N1423;17.01.2022;16.01.2022;16.01.2022;0,00;371610947;502949;Идеализм;962893;Сформированная;Выполненное;Транзит МС ТД-344;
063340G1862/6;17.01.2022;16.01.2022;16.01.2022;0,00;371610987;063340;Дигул;962894;Сформированная;Выполненное;Транзит МС ТД-331;
945095N1696/2;16.01.2022;16.01.2022;16.01.2022;0,00;371610727;945095;Музыка;962881;Сформированная;Отложенное;Транзит МС ТД-333;
772087G2925/7;17.01.2022;16.01.2022;16.01.2022;0,00;371611241;772087;Форзейль;962902;Сформированная;Выполненное;Транзит МС ТД-332;
945095N1696;16.01.2022;16.01.2022;16.01.2022;0,00;371611249;945095;Музыка;962903;Сформированная;Отложенное;Транзит МС ТД-335;
503786G2632/3;17.01.2022;16.01.2022;16.01.2022;0,00;371611383;503786;Ибериец;962900;Сформированная;Выполненное;Транзит МС ТД-322;
777878G3877/3;17.01.2022;16.01.2022;16.01.2022;0,00;371611400;777878;Разметка;962901;Сформированная;Выполненное;Транзит МС ТД-322;
936955G2292/3;16.01.2022;16.01.2022;16.01.2022;0,00;371611406;936955;Трение;962913;Сформированная;Отложенное;Транзит МС ТД-326;
503786G2632/6;17.01.2022;16.01.2022;16.01.2022;0,00;371611331;503786;Ибериец;962908;Сформированная;Выполненное;Транзит МС ТД-336;
777878G3877/4;17.01.2022;16.01.2022;16.01.2022;0,00;371611542;777878;Разметка;962909;Сформированная;Выполненное;Транзит МС ТД-334;
503317N1433;16.01.2022;16.01.2022;16.01.2022;0,00;371611715;503317;Бечевка;962918;Сформированная;Отложенное;Транзит МС ТД-352;
503646G2333/3;17.01.2022;16.01.2022;16.01.2022;0,00;371613034;503646;Альменда;962998;Сформированная;Выполненное;Транзит МС ТД-344;
502471G3942/3;17.01.2022;16.01.2022;16.01.2022;0,00;371613085;502471;Тангаж;962999;Сформированная;Выполненное;Транзит МС ТД-308;
936921N2071;16.01.2022;16.01.2022;16.01.2022;0,00;371613561;936921;Риони;963027;Сформированная;Отложенное;Транзит МС ТД-308;
936908G2763/4;16.01.2022;16.01.2022;16.01.2022;0,00;371613209;936908;Драпировка;963016;Сформированная;Отложенное;Транзит МС ТД-306;
502471GR3942/2;17.01.2022;16.01.2022;16.01.2022;0,00;371613761;502471;Тангаж;963042;Сформированная;Выполненное;Транзит МС ТД-364;
777878G3877;17.01.2022;16.01.2022;16.01.2022;0,00;371614193;777878;Разметка;963033;Сформированная;Выполненное;Транзит МС ТД-298;
945095G2313/6;16.01.2022;16.01.2022;16.01.2022;0,00;371613801;945095;Музыка;963047;Сформированная;Отложенное;Транзит МС ТД-300;
772087G2925/3;17.01.2022;16.01.2022;16.01.2022;0,00;371614770;772087;Форзейль;963061;Сформированная;Выполненное;Транзит МС ТД-298;
936955G2292;16.01.2022;16.01.2022;16.01.2022;0,00;371614829;936955;Трение;963080;Сформированная;Отложенное;Транзит МС ТД-281;
772087G2925/4;17.01.2022;16.01.2022;16.01.2022;0,00;371615143;772087;Форзейль;963071;Сформированная;Выполненное;Транзит МС ТД-290;
503786G2632/2;17.01.2022;16.01.2022;16.01.2022;0,00;371615086;503786;Ибериец;963086;Сформированная;Выполненное;Транзит МС ТД-279;
936908N1893/2;16.01.2022;16.01.2022;16.01.2022;0,00;371615263;936908;Драпировка;963089;Сформированная;Отложенное;Транзит МС ТД-286;
965043N1499;16.01.2022;16.01.2022;16.01.2022;0,00;371615201;965043;Боровенск;963092;Сформированная;Отложенное;Транзит МС ТД-280;
936908N1893;16.01.2022;16.01.2022;16.01.2022;0,00;371615602;936908;Драпировка;963181;Сформированная;Отложенное;Транзит МС ТД-253;
936921G2563;16.01.2022;16.01.2022;16.01.2022;0,00;371615617;936921;Риони;963183;Сформированная;Отложенное;Транзит МС ТД-276;
965043G1952;16.01.2022;16.01.2022;16.01.2022;0,00;371615907;965043;Боровенск;963193;Сформированная;Отложенное;Транзит МС ТД-261;
936955N1616;16.01.2022;16.01.2022;16.01.2022;0,00;371616175;936955;Трение;963203;Сформированная;Отложенное;Транзит МС ТД-256;
010265GR1498;16.01.2022;16.01.2022;16.01.2022;0,00;371623083;010265;Легковатость;963264;Сформированная;Отложенное;Транзит МС ТД-360;
945095G2314;16.01.2022;16.01.2022;16.01.2022;0,00;371625851;945095;Музыка;963268;Сформированная;Отложенное;Транзит МС ТД-334;
936974G1966;16.01.2022;16.01.2022;16.01.2022;0,00;371623201;936974;Ниниб;963257;Сформированная;Отложенное;Транзит МС ТД-330;
502787G2452;16.01.2022;16.01.2022;16.01.2022;0,00;371630062;502787;Натальский;963271;Сформированная;Отложенное;Транзит МС ТД-332;
503317G2431;16.01.2022;16.01.2022;16.01.2022;0,00;371623213;503317;Бечевка;963258;Сформированная;Отложенное;Транзит МС ТД-340;
502760N1437/2;16.01.2022;16.01.2022;16.01.2022;0,00;371623222;502760;Каспийский;963259;Сформированная;Отложенное;Транзит МС ТД-342;
771787N1347/2;16.01.2022;16.01.2022;16.01.2022;0,00;371634269;771787;Айран;963302;Сформированная;Отложенное;Транзит МС ТД-342;
936903G3079;16.01.2022;16.01.2022;16.01.2022;0,00;371623232;936903;Блаженство;963260;Сформированная;Отложенное;Транзит МС ТД-348;
502805G2763;16.01.2022;16.01.2022;16.01.2022;0,00;371634396;502805;Никандра;963304;Сформированная;Отложенное;Транзит МС ТД-398;
733685G1238;16.01.2022;16.01.2022;16.01.2022;0,00;371634463;733685;Тринадцатилетие;963308;Сформированная;Отложенное;Транзит МС ТД-33;
694855G3103/2;16.01.2022;16.01.2022;16.01.2022;0,00;371634927;694855;Ризография;963382;Сформированная;Отложенное;Транзит МС ТД-308;
503795G2695;16.01.2022;16.01.2022;16.01.2022;0,00;371634895;503795;Игольщик;963330;Сформированная;Отложенное;Транзит МС ТД-312;
771787G2706;16.01.2022;16.01.2022;16.01.2022;0,00;371635150;771787;Айран;963383;Сформированная;Отложенное;Транзит МС ТД-308;
750715G1744;16.01.2022;16.01.2022;16.01.2022;0,00;371635318;750715;Нарастание;963340;Сформированная;Отложенное;Транзит МС ТД-306;
683069G1584;16.01.2022;16.01.2022;16.01.2022;0,00;371635421;683069;Океанолог;963384;Сформированная;Отложенное;Транзит МС ТД-302;
936921G2564;16.01.2022;16.01.2022;16.01.2022;0,00;371635517;936921;Риони;963343;Сформированная;Отложенное;Транзит МС ТД-475;
965043N1500;16.01.2022;16.01.2022;16.01.2022;0,00;371635516;965043;Боровенск;963385;Сформированная;Отложенное;Транзит МС ТД-304;
502465N1280;16.01.2022;16.01.2022;16.01.2022;0,00;371635726;502465;Шилд;963386;Сформированная;Отложенное;Транзит МС ТД-350;
502871G2439;16.01.2022;16.01.2022;16.01.2022;0,00;371635732;502871;Траст;963387;Сформированная;Отложенное;Транзит МС ТД-35;
947712N1833/2;16.01.2022;16.01.2022;16.01.2022;0,00;371635655;947712;Лефевр;963345;Сформированная;Отложенное;Транзит МС ТД-10;
502847G2416;16.01.2022;16.01.2022;16.01.2022;0,00;371635748;502847;Свубат;963388;Сформированная;Отложенное;Транзит МС ТД-286;
947712N1833;16.01.2022;16.01.2022;16.01.2022;0,00;371635687;947712;Лефевр;963346;Сформированная;Отложенное;Транзит МС ТД-284;
503882G2350;16.01.2022;16.01.2022;16.01.2022;0,00;371635691;503882;Занижение;963347;Сформированная;Отложенное;Транзит МС ТД-280;
936929N1892/2;16.01.2022;16.01.2022;16.01.2022;0,00;371635708;936929;Дымчатка;963348;Сформированная;Отложенное;Транзит МС ТД-282;
509681G2707;16.01.2022;16.01.2022;16.01.2022;0,00;371636888;509681;Закусочный;963356;Сформированная;Отложенное;Транзит МС ТД-248;
502783G2449;16.01.2022;16.01.2022;16.01.2022;0,00;371636893;502783;Калтан;963357;Сформированная;Отложенное;Транзит МС ТД-252;
359938G2479;16.01.2022;16.01.2022;16.01.2022;0,00;371636942;359938;Резерваж;963389;Сформированная;Отложенное;Транзит МС ТД-246;
945013N1928/2;16.01.2022;16.01.2022;16.01.2022;0,00;371637020;945013;Орпен;963358;Сформированная;Отложенное;Транзит МС ТД-254;
935027N1991;16.01.2022;16.01.2022;16.01.2022;0,00;371637034;935027;Икальма;963359;Сформированная;Отложенное;Транзит МС ТД-256;
936901G3571;16.01.2022;16.01.2022;16.01.2022;0,00;371636959;936901;Красотка;963390;Сформированная;Отложенное;Транзит МС ТД-252;
503040G2212;16.01.2022;16.01.2022;16.01.2022;0,00;371637085;503040;Патрон;963361;Сформированная;Отложенное;Транзит МС ТД-262;
879903G1263;16.01.2022;16.01.2022;16.01.2022;0,00;371636997;879903;Турнюра;963391;Сформированная;Отложенное;Транзит МС ТД-251;
937776G2562;16.01.2022;16.01.2022;16.01.2022;0,00;371637112;937776;Темпура;963371;Сформированная;Отложенное;Транзит МС ТД-247;
502760N1437;16.01.2022;16.01.2022;16.01.2022;0,00;371637120;502760;Каспийский;963372;Сформированная;Отложенное;Транзит МС ТД-266;
670884G1114/2;16.01.2022;16.01.2022;16.01.2022;0,00;371637226;670884;Перешелест;963392;Сформированная;Отложенное;Транзит МС ТД-253;
937789G3244;16.01.2022;16.01.2022;16.01.2022;0,00;371637234;937789;Панчетта;963393;Сформированная;Отложенное;Транзит МС ТД-250;
879903G1263/4;16.01.2022;16.01.2022;16.01.2022;0,00;371637242;879903;Турнюра;963394;Сформированная;Отложенное;Транзит МС ТД-249;
936962G2318;16.01.2022;16.01.2022;16.01.2022;0,00;371637149;936962;Пироговский;963374;Сформированная;Отложенное;Транзит МС ТД-261;
946902N1537/2;16.01.2022;16.01.2022;16.01.2022;0,00;371637155;946902;Волчица;963375;Сформированная;Отложенное;Транзит МС ТД-248;
503029N1394;16.01.2022;16.01.2022;16.01.2022;0,00;371637181;503029;Металл;963378;Сформированная;Отложенное;Транзит МС ТД-265;
936929G2309;16.01.2022;16.01.2022;16.01.2022;0,00;371637190;936929;Дымчатка;963379;Сформированная;Отложенное;Транзит МС ТД-312;
945013N1928;16.01.2022;16.01.2022;16.01.2022;0,00;371637216;945013;Орпен;963381;Сформированная;Отложенное;Транзит МС ТД-276;
120742G1959;16.01.2022;16.01.2022;16.01.2022;0,00;371637331;120742;Мопс;963403;Сформированная;Отложенное;Транзит МС ТД-260;
508851G2906;16.01.2022;16.01.2022;16.01.2022;0,00;371637523;508851;Лисбонино;963395;Сформированная;Отложенное;Транзит МС ТД-274;
604355G1719;16.01.2022;16.01.2022;16.01.2022;0,00;371637374;604355;Математизация;963406;Сформированная;Отложенное;Транзит МС ТД-272;
937776N1752/2;16.01.2022;16.01.2022;16.01.2022;0,00;371637551;937776;Темпура;963396;Сформированная;Отложенное;Транзит МС ТД-270;
965045G2024;16.01.2022;16.01.2022;16.01.2022;0,00;371637630;965045;Инспектирование;963408;Сформированная;Отложенное;Транзит МС ТД-262;
501092G2548;16.01.2022;16.01.2022;16.01.2022;0,00;371637655;501092;Резервуар;963410;Сформированная;Отложенное;Транзит МС ТД-398;
503499G3305/6;16.01.2022;16.01.2022;16.01.2022;0,00;371638119;503499;Дутыш;963419;Сформированная;Отложенное;Транзит МС ТД-174;
771780G3460/3;16.01.2022;16.01.2022;16.01.2022;0,00;371638070;771780;Малабо;963399;Сформированная;Отложенное;Транзит МС ТД-176;
778109N1436;16.01.2022;16.01.2022;16.01.2022;0,00;371638137;778109;Албани;963422;Сформированная;Отложенное;Транзит МС ТД-174;
778109G3176/7;16.01.2022;16.01.2022;16.01.2022;0,00;371638161;778109;Албани;963425;Сформированная;Отложенное;Транзит МС ТД-176;
770220G4282/3;16.01.2022;16.01.2022;16.01.2022;0,00;371638300;770220;Вариатор;963445;Сформированная;Отложенное;Транзит МС ТД-161;
690714N1380;16.01.2022;16.01.2022;16.01.2022;0,00;371638451;690714;Виролин;963450;Сформированная;Отложенное;Транзит МС ТД-159;
508760G3955/7;16.01.2022;16.01.2022;16.01.2022;0,00;371638486;508760;Личный;963472;Сформированная;Отложенное;Транзит МС ТД-178;
503759G2854/8;16.01.2022;16.01.2022;16.01.2022;0,00;371638517;503759;Гранатомет;963470;Сформированная;Отложенное;Транзит МС ТД-198;
509990G2598/3;16.01.2022;16.01.2022;16.01.2022;0,00;371638541;509990;Чира;963482;Сформированная;Отложенное;Транзит МС ТД-200;
509990G2598/3;16.01.2022;16.01.2022;16.01.2022;0,00;371638541;509990;Чира;963451;Сформированная;Отложенное;Транзит МС ТД-180;
503759G2854/4;16.01.2022;16.01.2022;16.01.2022;0,00;371638600;503759;Гранатомет;963483;Сформированная;Отложенное;Транзит МС ТД-202;
503317G2430/3;16.01.2022;16.01.2022;16.01.2022;0,00;371638616;503317;Бечевка;963484;Сформированная;Отложенное;Транзит МС ТД-175;
694829G2722/3;16.01.2022;16.01.2022;16.01.2022;0,00;371638839;694829;Щепотка;963501;Сформированная;Отложенное;Транзит МС ТД-205;
378261N1018;16.01.2022;16.01.2022;16.01.2022;0,00;371638777;378261;Конголезец;963490;Сформированная;Отложенное;Транзит МС ТД-211;
272993N1208;16.01.2022;16.01.2022;16.01.2022;0,00;371638786;272993;Самонакладчик;963491;Сформированная;Отложенное;Транзит МС ТД-209;
946902G1928;16.01.2022;16.01.2022;16.01.2022;0,00;371638876;946902;Волчица;963502;Сформированная;Отложенное;Транзит МС ТД-125;
773768N1274;16.01.2022;16.01.2022;16.01.2022;0,00;371638900;773768;Технообраз;963503;Сформированная;Отложенное;Транзит МС ТД-219;
293851G1983;16.01.2022;16.01.2022;16.01.2022;0,00;371638906;293851;Мантанани;963504;Сформированная;Отложенное;Транзит МС ТД-207;
694855G3103;16.01.2022;16.01.2022;16.01.2022;0,00;371639027;694855;Ризография;963505;Сформированная;Отложенное;Транзит МС ТД-223;
502413G3207;16.01.2022;16.01.2022;16.01.2022;0,00;371638991;502413;Лугия;963518;Сформированная;Отложенное;Транзит МС ТД-221;
502473N1634;16.01.2022;16.01.2022;16.01.2022;0,00;371639005;502473;Левкой;963519;Сформированная;Отложенное;Транзит МС ТД-230;
670884G1114/4;16.01.2022;16.01.2022;16.01.2022;0,00;371639135;670884;Перешелест;963521;Сформированная;Отложенное;Транзит МС ТД-237;
120742N1630/2;16.01.2022;16.01.2022;16.01.2022;0,00;371639141;120742;Мопс;963522;Сформированная;Отложенное;Транзит МС ТД-239;
503916N1245;16.01.2022;16.01.2022;16.01.2022;0,00;371639072;503916;Спартакиада;963506;Сформированная;Отложенное;Транзит МС ТД-243;
778109G3176/4;16.01.2022;16.01.2022;16.01.2022;0,00;371639176;778109;Албани;963524;Сформированная;Отложенное;Транзит МС ТД-241;
770131G5470/3;16.01.2022;16.01.2022;16.01.2022;0,00;371639344;770131;Бакс;963528;Сформированная;Отложенное;Транзит МС ТД-14;
771780GR3460/3;16.01.2022;16.01.2022;16.01.2022;0,00;371639407;771780;Малабо;963531;Сформированная;Отложенное;Транзит МС ТД-40;
770131GR5470/6;16.01.2022;16.01.2022;16.01.2022;0,00;371639573;770131;Бакс;963543;Сформированная;Отложенное;Транзит МС ТД-28;
508760G3955/4;16.01.2022;16.01.2022;16.01.2022;0,00;371639602;508760;Личный;963545;Сформированная;Отложенное;Транзит МС ТД-20;
503092G3001/7;16.01.2022;16.01.2022;16.01.2022;0,00;371639734;503092;Пейнтхорс;963549;Сформированная;Отложенное;Транзит МС ТД-18;
508820NR1288;16.01.2022;16.01.2022;16.01.2022;0,00;371642896;508820;Диоклес;963722;Сформированная;Отложенное;Транзит МС ТД-297;
936918G2478/2;16.01.2022;16.01.2022;16.01.2022;0,00;371649575;936918;Лунь;963851;Сформированная;Отложенное;Транзит МС ТД-58;
931784G1086/1;16.01.2022;16.01.2022;16.01.2022;0,00;371649787;931784;Хлебопекарня;963791;Сформированная;Отложенное;Транзит МС ТД-88;
997701C07569/1;16.01.2022;16.01.2022;16.01.2022;0,00;371649837;997701;Солнечногорск 1 Красная;963922;Сформированная;Отложенное;Транзит МС ТД-120;
945056N1782/2;16.01.2022;16.01.2022;16.01.2022;0,00;371650794;945056;Воскресный;963878;Сформированная;Отложенное;Транзит МС ТД-218;
601773A1439/5;16.01.2022;16.01.2022;16.01.2022;0,00;371652720;601773;Ситниковидный;963967;Сформированная;Отложенное;Транзит МС ТД-51;
777918GRR3322;16.01.2022;16.01.2022;16.01.2022;0,00;371652926;777918;Салли;963985;Сформированная;Отложенное;Транзит МС ТД-55;
694868G3249/3;16.01.2022;16.01.2022;16.01.2022;0,00;371653693;694868;Дикили;964016;Сформированная;Отложенное;Транзит МС ТД-628;
683069G1583/3;16.01.2022;16.01.2022;16.01.2022;0,00;371657322;683069;Океанолог;964207;Сформированная;Отложенное;Транзит МС ТД-41;
358052G1872;16.01.2022;16.01.2022;16.01.2022;0,00;371657228;358052;Карванна;964104;Сформированная;Отложенное;Транзит МС ТД-45;
;;;;;;;;;;;Транзит;ТТ без опознавательных знаков
;;;;;;;;;;;Транзит;ТТ без опознавательных знаков
;;;;;;;;;;;Транзит;ТТ без опознавательных знаков
;;;;;;;;;;;Транзит;ТТ без опознавательных знаков
;;;;;;;;;;;Транзит;ТТ без опознавательных знаков
;;;;;;;;;;;Транзит;ТТ без опознавательных знаков
;;;;;;;;;;;Транзит;ТТ без опознавательных знаков
;;;;;;;;;;;Транзит;ТТ без опознавательных знаков
